Institution,Amount,canton
Abt. Industriegüter- & Technologiemarketing Inst. für Marketing und Unternehmensführung Universität Bern,5.345,BE
Abt. für Pädiatrische Intensivbehandlung Medizinische Universitäts-Kinderklinik Inselspital,3.6,address unfound
Abteilung Biochemie Biozentrum Universität Basel,12.2,BS
Abteilung Gastroenterologie Departement Klinische Forschung Universität Bern,180.0,BE
Abteilung Marketing Inst. für Marketing und Unternehmensführung Universität Bern,7.0,BE
Abteilung Molekulare Pathobiologie Vetsuisse-Fakultät Universität Bern,180.0,BE
Abteilung Pharmakologie/Neurobiologie Biozentrum der Universität Basel,10.45,BS
Abteilung Populationsgenetik Institut für Ökologie und Evolution Universität Bern,5.61,BE
Abteilung c2d Zentrum für Demokratie Aarau Universität Zürich,8.2,ZH
Abteilung für Hochleistungskeramik Eidg. Materialprüfungs- und Forschungsanstalt (EMPA),1.87,address unfound
Abteilung für Neuropsychologie Zentrum für Kognitionswissenschaften Universität Bremen,7.87,Institution not in Switzerland
Alaska Volcano Observatory United State Geological Survey,11.35,Institution not in Switzerland
Anatomisches Institut Universität Zürich,4.111,ZH
Anderson School of Management (UCLA) University of California,12.0,Institution not in Switzerland
Anthropologisches Institut und Museum Universität Zürich-Irchel,5.61,address unfound
Aquatic Ecology  Eawag,9.5,address unfound
Architektur und Bauprozess Institut für Technologie in der Architektur ETH Zürich,0.75,ZH
Archivio di Stato del Canton Ticino,5.61,TI
Armenian Agricultural Academy,50.0,address unfound
Ashworth Laboratories Institute of Evolutionary Biology The University of Edinburgh,1.76,Institution not in Switzerland
Atmospheric and Environmental Research Inc.,10.5,address unfound
BESSY GmbH Berliner Synchrotron,5.79,address unfound
Bangor University School of History Welsh History and Archeaology,11.325,Institution not in Switzerland
Bielefeld Graduate School in History and Sociology Bielefeld University,4.3,Institution not in Switzerland
Bioengineering Institute University of Auckland Level 6,13.16,address unfound
Biozentrum der Universität Basel Systembiologie,120.0,address unfound
Botanisches Institut Universität Basel,5.2,BS
Business School Korea University,2.2,address unfound
CABI,4.35,Institution not in Switzerland
CAS Key Laboratory of Organic Solid Institute of Chemistry The Chinese Academy of Sciences,2.1,address unfound
CER-ETH Resource Economics ETH Zurich,6.425,address unfound
CERN,3.0,Institution not in Switzerland
CERN Division PPE,10.5,address unfound
CHUV Service de Chirurgie,8.3,address unfound
CReAM Department of Economics University College London,9.3,Institution not in Switzerland
CSIRO Marine and Atmospheric Research,11.0,address unfound
Cardiac and Vascular Surgery Fondazione Cardiologico Monzino IRCCS University of Milan,0.165,Institution not in Switzerland
Catholic University of Bukavu,4.5,Institution not in Switzerland
Cavendish Laboratory Department of Physics University of Cambridge,138.96,Institution not in Switzerland
Cell migration and neuritogenesis Department Biomedizin Universität Basel,150.0,address unfound
"Center for Arab and Middle Eastern Studies (CAMES), American University Beirut",13.66,Institution not in Switzerland
Center for Environmental Remote Sensing CEReS Chiba University,1.76,address unfound
Center for Health Service Research University of Newcastle upon Tyne,11.1,Institution not in Switzerland
Center for Information Technology an Society  University of California,10.5,Institution not in Switzerland
Center for Knowledge and Innovation Research (CKIR) Helsiniki School of Economics,6.675,address unfound
Center for Snow and Avalanche Studies CSAS,5.71,address unfound
Center of Economic Research (CER)  ETH Zürich,9.04,ZH
Centre Camille-Jullian Maison Méditerranéenne des Sciences de l'Homme,11.3,address unfound
Centre Interfacultaire en Sciences Affectives (CISA) Université de Genève,12.9,GE
"Centre OMS de recherche et de formation en immunologie, Département de Pathologie, CMU",180.0,address unfound
Centre Universitaire d'Informatique Université de Genève,11.22,GE
Centre de Neurosciences Psychiatriques Hôpital de Cery,150.0,address unfound
Centre de recherches en physique des plasmas EPFL - SB - CRPP,4.5,address unfound
Centre for African Studies University of Cape Town,10.49,Institution not in Switzerland
Centre for Ecology and Hydrology CEH Monks Wood Abbots Ripton,0.4,Institution not in Switzerland
Chair of Anglo-American and Comparative Law School of Law University of Lucerne,3.0,LU
Chaire IRP en réparation de la moëlle épinière EPFL - SV - BMI - UPCOURTINE,180.0,address unfound
Chaire d'Anthropologie Sociale Faculté des sciences économiques et sociales Université de Fribourg,2.7,FR
Chaire de Droit Faculté ENAC- Section SIE EPFL,11.0,VD
Chaire de mathématiques algébriques discrètes EPFL - SB - IMB - MAD,10.87,address unfound
Chaire des structures algébriques et géométriques EPFL-SB-MATHGEOM-CSAG,30.48,address unfound
Christkatholische und Evangelische Theologische Fakultät Universität Bern,7.0,BE
Cognitive and Decision Sciences Fakultät für Psychologie Universität Basel,3.2,address unfound
College of Humanities and Social Sciences Massey University,13.4,Institution not in Switzerland
Collegium Helveticum Semper-Sternwarte ETH - Zentrum,20.5,address unfound
Columbia University Institute for Tele-Information Graduate School of Business,8.2,address unfound
Committee on Social Thought The University of Chicago,0.7,Institution not in Switzerland
Conservatorio della Svizzera Italiana Scuola universitaria professionale della Svizzera italiana,12.3,address unfound
Cornelia Goethe Centrum Johann Wolfgang Goethe-Universität,6.125,address unfound
Corpus Christi College University of Oxford,8.375,Institution not in Switzerland
Denison University,9.34,Institution not in Switzerland
Departamento de Geologia UFRN Campus Universitario,7.37,address unfound
Departamento de Teoria e Prática de Ensino Universidade Federal do Paraná,12.9,address unfound
Departement Architektur ETH Zürich,11.35,ZH
Departement Biomedizin Universität Basel,360.0,BS
Departement Chemie und Angewandte Biowissenschaften ETH  Zürich,4.34,ZH
Departement Erdwissenschaften ETH Zürich,4.96,ZH
Departement Erziehungswissenschaften Universität Freiburg,10.82,Institution not in Switzerland
Departement Forschung und Entwicklung Pädagogische Hochschule Zürich,10.746,ZH
"Departement Geographie, SIE Universität Zürich",8.0,ZH
Departement Geschichte Universität Basel,25.2,BS
Departement Klinische Forschung (DKF) Universität Bern,3.5,BE
Departement Klinische Forschung Inselspital Bern Universität Bern,180.0,BE
Departement Klinische Forschung Universität Bern,360.0,BE
Departement Mathematik ETH Zürich,171.726,ZH
Departement Physik Universität Basel,14.4,BS
Departement Umweltsystemwissenschaften ETH Zürich IBP / D-USYS,10.0,address unfound
Departement für Chemie und Biochemie Universität Bern,13.600000000000001,BE
"Departement für Sport, Bewegung und Gesundhe Universität Basel",6.05,BS
Departement für öffentliches Recht Universität Freiburg,7.55,Institution not in Switzerland
Department of Cancer Research and Mol. Med.  Norwegian University for Science and Technol,429.0,address unfound
Department of Cell Biology Erasmus University Medical Center,10.95,address unfound
Department of Chemical Engineering Princeton University,9.0,Institution not in Switzerland
Department of Civil Engineering University of Stellenbosch,12.36,Institution not in Switzerland
Department of Clinical Physiology University Hospital,11.0,address unfound
Department of Computer Engineering Sejong University,9.333,address unfound
Department of Dermatology Department of Molecular & Cellular Biology Baylor College of Medecine,8.25,address unfound
Department of Earth Sciences University of Bristol,2.36,Institution not in Switzerland
Department of Electrical Engineering and Computer Sciences University of California at Berkeley,10.5,Institution not in Switzerland
Department of Electronics University of York,1.675,Institution not in Switzerland
Department of English Hampden-Sydney College,4.43,address unfound
Department of Environmental Health Harvard School of Public Health,7.25,address unfound
Department of Geography Kings College London University of London,15.89,Institution not in Switzerland
Department of Geography University of Durham,2.23,address unfound
Department of Geography University of Otago,13.5,Institution not in Switzerland
Department of Geology The Australian National University,4.7,Institution not in Switzerland
Department of German language and literature studies Al-Azhar University,3.4,address unfound
Department of Historical Studies University of Cape Town,10.0,Institution not in Switzerland
Department of Mathematics & Statistics University of Lancaster,7.6,Institution not in Switzerland
Department of Near Eastern Languages and Civilizations University of Chicago,9.98,Institution not in Switzerland
Department of Physics University of Massachusetts,4.0,Institution not in Switzerland
Department of Political Science University of Ghana,4.85,address unfound
"Department of Psychiatry University of California, San Diego",12.54,address unfound
Department of Psychology Faculty of Philosophy University of Belgrade,1.55,Institution not in Switzerland
Department of Psychology Macquarie University,9.78,Institution not in Switzerland
Department of Psychology University College London,5.917,Institution not in Switzerland
Department of Psychology and Dep. of Psychiatry and Behavior Sciences Emory University,5.5,Institution not in Switzerland
Department of Social Statistics University of Southampton,4.0,Institution not in Switzerland
Department of Software Systems Institute of Science and Technology Graduate School of Information Science,3.82,address unfound
Department of Systems Biology Dana-Farber Cancer Institute Harvard Medical School,12.5,address unfound
Department of chemical system engineering University of Tokyo,1.8,address unfound
Dept. Forschung und Entwicklung Pädagogische Hochschule Zürcher Fachhochschule,4.0,address unfound
Dept. de Quimica Fundamental CCEN Universidade Federal de Pernambuco,3.45,Institution not in Switzerland
Dept. of Ecology and Evolutionary Biology Princeton University,6.6,Institution not in Switzerland
Dept. of Economics University of Bristol,11.0,Institution not in Switzerland
Dept. of Economics University of Calgary,10.0,Institution not in Switzerland
Dept. of Egyptian Art Ny Carlsberg Glyptotek,2.0,address unfound
Dept. of Germanic and Slavic Languages Vanderbilt University,12.5,Institution not in Switzerland
Dept. of Health Care Policy Harvard Medical School,12.48,address unfound
Dept. of Mechanical and Process Engineering ETH-Zentrum,15.3,address unfound
Dept. of Microbiology and Immunology College of Veterinary Medicine Cornell University,5.2,address unfound
"Dept. of Pathology, Microbiol. & Immunology School of Veterinary Medicine University of California at Davis",5.5,address unfound
Dept. of Public and Business Adminstration Faculty of Economics and Management University of Cyprus,11.5,address unfound
Depts. of Biochemistry and Biotechnology and Microbial Communities of Inst. of Microbio.,103.74465,address unfound
Deutsches Archäologisches Institut Instituto Arqueologico Aleman,5.26,address unfound
Deutsches Seminar Universität Basel,140.0,BS
Deutsches Seminar Universität Zürich,4.1,ZH
Dipartimento di Scienze Economiche Università della Svizzera Italiana,2.03,address unfound
Dipartimento di Statistica Università Ca'Foscari,0.29,address unfound
Dipartimento di storia e geografia Università di Firenze,24.98,Institution not in Switzerland
Div. Occupational and Environmental Medicine School of Medicine University of California,5.55,Institution not in Switzerland
Division EP CERN,3.15,address unfound
Division d'Orthodontie Section de Médecine Dentaire Université de Genève,8.1,GE
Division de Biochimie Département de Biologie Université de Fribourg,10.95,FR
Division of Infectious Diseases Department of Medicine University of Louisville,11.4,Institution not in Switzerland
Divisione della Cultura e degli Studi Universitari,15.0,address unfound
Droit international public Faculté de droit et des sciences criminelles Université de Lausanne,4.5,VD
Département d'Ecologie et d'Evolution Faculté de Biologie et de Médecine Université de Lausanne,7.89,VD
Département d'anglais et de slavistique Université de Fribourg,4.0,FR
Département de Biologie Faculté des Sciences Université de Fribourg,35.0,FR
Département de Biologie Moléculaire Faculté des Sciences Université de Genève,10.6,GE
Département de Biologie Végétale Faculté des Sciences Université de Genève,11.12,GE
Département de Chimie Organique Université de Genève,7.12,GE
Département de Chimie Physique Faculté des Sciences Université de Genève,19.69,GE
Département de Chimie Université de Fribourg,10.53,FR
Département de Génie Civil Institut de Statique et Structures MCS,3.5,address unfound
Département de Génétique et Evolution Faculté des Sciences Université de Genève,46.0,GE
Département de Géographie et Environnement Faculté des Sciences de la Société Université de Genève,7.66,GE
Département de Linguistique Française Faculté des Lettres Université de Genève,10.8,GE
Département de Microbiologie Fondamentale Faculté de Biologie et de Médecine Université de Lausanne,47.0,VD
Département de Morphologie Faculté de Médecine Université de Genève,100.0,GE
Département de Pathologie et Immunologie Faculté de Médecine / CMU Université de Genève,150.0,GE
Département de Pharmacologie & Toxicologie Faculté de Biologie et de Médecine Université de Lausanne,180.0,VD
Département de Philosophie Faculté des Lettres Université de Fribourg,1.25,FR
Département de Physiologie Faculté de Biologie et de Médecine Université de Lausanne,305.0,VD
Département de Physique CERN - PH,65.38,address unfound
Département de Physique Université de Fribourg,24.549999999999997,FR
Département de Physique de la Matière Condensée Université de Genève,11.35,GE
Département de droit constitutionnel Faculté de droit Université de Genève,1.87,GE
Département de linguistique générale Faculté des lettres Université de Genève,0.46,GE
Département de linguistique générale et linguistique française Uni-Bastions,1.535,address unfound
Département de management Faculté des hautes études commerciales Université de Lausanne,10.0,VD
Département de physique nucléaire et corpusculaire Université de Genève,28.0,GE
Département des sciences de la Terre Université de Genève,16.5,GE
Dépt Microbiologie et Médecine Moléculaire Faculté de Médecine Université de Genève,325.0,GE
Dépt Physiologie Cellulaire et Métabolisme Faculté de Médecine Université de Genève,180.0,GE
Dépt des Neurosciences Fondamentales Faculté de Médecine Université de Genève,572.5,GE
EHESS Ecole des Hautes Etudes en Sciences Sociales,9.56,address unfound
EPFL - SB - MATHAA,9.6,address unfound
EPFL - SV - IBI - LBM,7.7,address unfound
EPFL SV ISREC UPRAD,180.0,address unfound
ETH Zentrum RAC F 18,9.2,address unfound
Eawag,6.0,address unfound
Ecole National Supérieure d'Architecture de Paris la Villette,10.13,Institution not in Switzerland
Ecole Spéciale d'Architecture,15.98,address unfound
Ecole française d'Athènes (EFA),11.0,address unfound
"Eidg. Forschungsanstalt für Wald, Schnee und Landschaft WSL",55.61,address unfound
Eidg. Materialprüfungs- und Forschungsanstalt (EMPA),11.6,address unfound
Englisches Seminar Universität Zürich,11.4,ZH
Ethologische Station Hasli Zoologisches Institut Universität Bern,1.15,BE
Europainstitut Universität Basel,5.2,BS
Eövtös Loránd University,624.998,address unfound
FB Geschichts- und Kulturwissenschaften Freie Universität Berlin,3.2,Institution not in Switzerland
Fachbereich 1: Soziologie Universität Siegen,4.54,Institution not in Switzerland
Fachbereich Biologie/Chemie Universität Osnabrück,11.12,Institution not in Switzerland
Fachrichtung Angewandte Psychologie Psychologisches Institut Universität Zürich,6.0,ZH
Faculteit Geesteswetenschappen Universiteit van Amsterdam,11.3,Institution not in Switzerland
Faculty of Built Environment and Engineering Queensland University of Technology,9.4,address unfound
Faculty of Classics University of Cambridge,4.67,Institution not in Switzerland
Faculty of Modern History University of Oxford,2.0,Institution not in Switzerland
Faculty of Science University of Yaounde I,7.55,address unfound
Faculté de Psychologie et des Sciences de l'Education Université de Genève,23.189999999999998,GE
Faculté des Lettres Université de Genève,12.8,GE
"Faculté des sciences sociales, politiques et économiques Université Libre de Bruxelles",7.09,address unfound
"Faculté des sciences économiques et sociales, Décanat Université de Genève",11.8,GE
Fakultät für Psychologie Universität Basel,19.8,BS
Fluid Dynamics and Granular Flows Applied Mathematics and Theoretical Physics University of Cambridge,7.4,Institution not in Switzerland
Forschung für Infektions- und Krebskrankh. Abteilung Onkologie Universitäts-Kinderspital Zürich,180.0,ZH
Forschungsanstalt Agroscope Changins- Wädenswil ACW,4.645,address unfound
Forschungsgruppe Sozioökonomie Forschungsbereich Agrarökonomie Agroscope,5.0,address unfound
Forschungslabor für Urologie Departement Klinische Forschung (DKF),180.0,address unfound
Forschungsstelle für Sicherheitspolitik D-GESS ETH Zürich,10.7,ZH
Forum Suisse pour l'étude des migrations et de la population Université de Neuchâtel,15.309999999999999,NE
Friedrich Miescher Institute,445.0,address unfound
Geographisches Institut Universität Bern,14.9,BE
Geologisches Institut ETH Zürich,122.14,ZH
Gerontopsychologie Psychologisches Institut Universität Zürich,8.0,ZH
Graduate School of Economics Faculty of Economics Kyoto University,9.32,address unfound
Graduate School of Global Information and Telecommunication Waseda University,28.7,address unfound
Graduate School of Science Department of Chemistry Tohoku University,1.97,address unfound
Groupe Diabétologie expérimentale Dépt. Physiologie Cellulaire et Métabolisme Université de Genève,2.25,GE
Groupe de génie électrochimique EPFL - SB - ISIC - GGEC,11.8,address unfound
Groupe de recherche en économie territoriale Institut de sociologie Université de Neuchâtel,10.91,NE
Gruppe Isotopengeologie Institut für Geologie Universität Bern,5.61,BE
Harvard Law School Harvard University,9.0,address unfound
Haute école de santé ARC Haute Ecole Spécialisée de Suisse occidentale,10.0,address unfound
Helsinki Collegium of Advanced Studies University of Helsinki,1.55,Institution not in Switzerland
High Voltage Laboratory ETH Zentrum,3.5,address unfound
Hochschule der Künste Bern Berner Fachhochschule,8.0,address unfound
Hochschule für Angewandte Psychologie Fachhochschule Nordwestschweiz,9.1,address unfound
Hochschule für Soziale Arbeit Fachhochschule Nordwestschweiz,11.03,address unfound
Hokkaido University,1.0,Institution not in Switzerland
Humboldt Universität Berlin Institut für Sozialwissenschaften,4.18,address unfound
Humboldt Universität zu  Berlin Sonderforschungsbereich 640,3.8,address unfound
Hôpital Ophtalmique Jules Gonin,10.3,address unfound
Hôpital Robert Debré,9.28,Institution not in Switzerland
Hôpitaux Universitaires de Genève,41.4,GE
IBM Research GmbH,43.69,address unfound
ICEM SA Metallurgical Research Institute,40.0,address unfound
IHEID Fondation pour l'institut de hautes études internationales et du développement,5.61,address unfound
IN3 - Internet Interdisciplinary Inst. eLearning Universitat Oberta de Catalunya,11.16,Institution not in Switzerland
IPMZ - Institut für Publizistikwissenschaft und Medienforschung Universität Zürich,11.543,ZH
ISP-UGEC EPFL,12.9,VD
IWWR Laboratory for Plant Genetics Institute for Wetland and Water Research Radboud University Nijmegen,7.25,Institution not in Switzerland
Ian Wark Research Institute IWRI University of South Australia,9.2,address unfound
Inst. de Géomatique & d'Analyse du Risque Fac. des Géosciences & de l'Environnement Université de Lausanne,1.0,VD
Inst. for Physical and Chemical Research RIKEN,7.24,address unfound
Inst. für Hydromechanik und Wasserwirtschaft ETH-Hönggerberg,8.78,address unfound
Inst. für Operations Research und mathematische Methoden Zürich CH Universität Zürich,7.8,ZH
Inst. für Sozialplan. und Soz.managem. (ISS) Hochschule für Soziale Arbeit HSA Berner Fachhochschule,7.0,address unfound
Inst. of Railway Studies & Transport History Dept. of History University of York,6.8,Institution not in Switzerland
Institut F.-A. Forel Université de Genève,5.61,GE
Institut Forschung & Entwicklung Hochschule Luzern - Musik,10.0,LU
Institut Laue-Langevin,10.72,address unfound
Institut Romand de Recherche Numérique en Physique des Matériaux - IRRMA EPFL - SB - IRRMA-GE,21.53,address unfound
Institut Suisse de Recherche Expérimentale sur le Cancer EPFL - SV - ISREC,180.0,address unfound
Institut Universitaire de Pathologie CHUV,360.0,address unfound
Institut d'informatique Université de Neuchâtel,15.38,NE
Institut d'informatique et Intelligence artificielle Université de Neuchâtel,11.925,NE
Institut d'études médiévales Université de Fribourg,12.5,FR
Institut de Cordeliers Laboratoire de Physiologie et Génomique des Cellules Rénales,8.99,address unfound
Institut de Géologie Université de Neuchâtel,1.4,NE
Institut de Hautes Etudes Internationales et du Développement,12.86,address unfound
Institut de Mathématiques Université de Lausanne,1.215,VD
Institut de Microbiologie Université de Lausanne,180.0,VD
Institut de Pharmacologie et de Biologie Structurale CNRS UPR 9062,3.65,address unfound
Institut de Recherche en Informa- tique et Systèmes Aléatoires IRISA / INRIA Rennes,10.77,Institution not in Switzerland
Institut de Théorie des Phénomènes Physiques EPFL SB ITP LPPC,2.2,address unfound
Institut de droit de la santé Faculté de droit Université de Neuchâtel,1.3,NE
Institut de mathématiques B EPFL - SB - IMB,10.66,address unfound
Institut de mathématiques Université de Neuchâtel,3.74,NE
Institut de mathématiques de géométrie et applications EPFL - SB - MATHGEOM,10.87,address unfound
Institut de microtechnique EPFL - STI - IMT,5.61,address unfound
Institut de physique appliquée Laboratoire de théorie du solide DP - EPF-Lausanne,18.970000000000002,VD
Institut de physique de la matière condensée EPFL - SB - ICMP,11.6,address unfound
Institut de sociologie et de sciences politiques Université de Neuchâtel,10.88,NE
Institut des Sciences et Ingénierie Chimiques EPFL-SB-ISIC-LSPN,11.8,address unfound
Institut des sciences et ingénierie chimiques EPFL - SB - ISIC,7.5,address unfound
Institut européen de l'Université de Genève,4.35,GE
Institut for Medical Research,4.37,Institution not in Switzerland
Institut für Agrarwissenschaften ETH Zürich,10.86,ZH
Institut für Anorganische Chemie Universität Basel,30.6,BS
"Institut für Anorganische, Ana- lytische und Physikalische Chemie Universität Bern",40.0,BE
Institut für Automatik ETH Zürich,21.1,ZH
Institut für Bildverarbeitung Informationstechnologie und Elektrotechnik ETH Zürich,2.06,ZH
Institut für Biochemie und Molekulare Medizin Universität Bern,3.5,BE
Institut für Biomedizinische Technik Universität Zürich und ETHZ,1.2,address unfound
Institut für Chemie- und Bioingenieurwissenschaften ETH Zürich,10.96,ZH
Institut für Chirurgische Forschung und Spitalmanagement Universitätsspital Basel,5.61,BS
Institut für Customer Insight (ICI-HSG) Universität St. Gallen,11.21,SG
Institut für Energietechnik ETH Zürich,58.85,ZH
Institut für Europäische und Vergleichende Sprach- und Literaturwissenschaft Universität Wien,12.4,Institution not in Switzerland
Institut für Evolutionsbiologie und Umweltwissenschaften Universität Zürich,16.5,ZH
Institut für Führung- und Personalmanagement Universität St. Gallen,8.0,SG
Institut für Gemüse und Zierpflanzenbau,10.8,address unfound
Institut für Geophysik ETH Zürich,64.38199999999999,ZH
